iYrCnt,npt,veg%iveg,casamet%lat,casamet%lon,casamet%areacell,mimicspool%LITm,mimicspool%LITs,mimicspool%MICr,mimicspool%MICk,mimicspool%SOMa,mimicspool%SOMc,mimicspool%SOMp
     1,      94,      10,       14.2100000000,        7.5000000000,       56.7769702400,        0.3730369802,        1.1135939844,        0.0608679812,        0.0645580129,        0.7068125595,        1.3616519698,        0.2287362351,
     1,      95,       7,       16.1100000000,        7.5000000000,       56.2705448960,        0.1940388765,        0.7013815292,        0.0463394100,        0.0529197816,        0.3666576524,        0.9470645200,        0.0725362042,
     1,      96,       7,       18.0000000000,        7.5000000000,       55.7025894400,        0.0100843074,        0.0875637243,        0.0000000000,        0.0000000000,        0.3518294623,        0.7749775684,        0.0000006682,
     1,      97,      16,       19.8900000000,        7.5000000000,       55.0737264640,        0.0014923086,        0.0459951219,        0.0000000000,        0.0000000000,        0.5584516730,        0.7433890866,        0.0000000000,
     1,      98,      16,       21.7900000000,        7.5000000000,       54.3846359040,        0.0048642820,        0.1419421527,        0.0000000000,        0.0000000000,        0.4373140668,        0.8578634615,        0.0000000000,
     1,      99,      16,       23.6800000000,        7.5000000000,       53.6360837120,        0.0064465965,        0.1560382191,        0.0000000000,        0.0000000000,        0.4559306952,        0.8718339784,        0.0000000000,
     1,     100,      16,       25.5800000000,        7.5000000000,       52.8288768000,        0.0040603502,        0.1161391273,        0.0000000000,        0.0000000000,        0.4694948109,        0.8388601849,        0.0000000000,
     1,     101,      16,       27.4700000000,        7.5000000000,       51.9639040000,        0.0057839514,        0.1714847735,        0.0000000000,        0.0000000000,        0.3604462954,        0.8785933705,        0.0000000000,
     1,     102,      16,       29.3700000000,        7.5000000000,       51.0421073920,        0.0059757924,        0.1723833611,        0.0000000000,        0.0000000000,        0.3640386490,        0.8804162773,        0.0000000000,
     1,     103,      16,       31.2600000000,        7.5000000000,       50.0644986880,        0.0792627868,        0.1854741466,        0.0000000000,        0.0001559967,        0.3572669280,        0.8627071274,        0.0000537675,
     1,     104,      16,       33.1600000000,        7.5000000000,       49.0321428480,        0.1679619421,        0.5752317809,        0.0009427442,        0.0017373226,        0.2892778828,        1.1190955869,        0.0035574129,
     1,     105,      14,       35.0500000000,        7.5000000000,       47.9461744640,        0.3989008973,        1.2190008099,        0.0145426700,        0.0155778994,        1.0031163975,        1.7697609185,        0.3488298018,
     1,     106,      17,       36.9500000000,        7.5000000000,       26.9903831040,        1.0000000000,        1.0000000000,        0.0150000000,        0.0250000000,        1.0000000000,        1.0000000000,        0.0000000000,
     1,     107,      17,       38.8400000000,        7.5000000000,        1.0813504000,        1.0000000000,        1.0000000000,        0.0150000000,        0.0250000000,        1.0000000000,        1.0000000000,        0.0000000000,
     1,     108,      17,       40.7400000000,        7.5000000000,        2.3996055040,        1.0000000000,        1.0000000000,        0.0150000000,        0.0250000000,        1.0000000000,        1.0000000000,        0.0000000000,
     1,     109,      17,       42.6300000000,        7.5000000000,        5.6300994560,        1.0000000000,        1.0000000000,        0.0150000000,        0.0250000000,        1.0000000000,        1.0000000000,        0.0000000000,
     1,     110,      14,       44.5300000000,        7.5000000000,       38.6843566080,        1.4035605870,        3.5562280889,        0.0866026553,        0.0989118370,        3.1555391430,        3.5598235661,        3.3877327302,
     1,     111,      14,       46.4200000000,        7.5000000000,       40.3748536320,        1.8993153334,        4.4161631569,        0.1182705513,        0.1285144841,        4.1894342614,        4.0260251238,        3.9846331294,
     1,     112,      14,       48.3200000000,        7.5000000000,       38.9499371520,        1.5922055501,        3.8483168548,        0.0993112104,        0.1142926532,        3.3941812135,        3.6540474101,        3.7286716070,
     1,     113,      14,       50.2100000000,        7.5000000000,       37.4824263680,        1.5039702538,        3.6649749801,        0.0864924268,        0.0972419551,        3.1237732748,        3.6301133990,        3.1025289358,
     1,     114,      14,       52.1100000000,        7.5000000000,       35.7557493760,        1.5818348859,        3.8719603148,        0.0912582197,        0.0975293515,        2.8522253362,        3.8276801470,        1.9720219783,
     1,     115,      17,       54.0000000000,        7.5000000000,       10.0283258880,        1.0000000000,        1.0000000000,        0.0150000000,        0.0250000000,        1.0000000000,        1.0000000000,        0.0000000000,
     1,     116,      17,       55.8900000000,        7.5000000000,        3.4886904320,        1.0000000000,        1.0000000000,        0.0150000000,        0.0250000000,        1.0000000000,        1.0000000000,        0.0000000000,
     1,     117,      17,       57.7900000000,        7.5000000000,        8.9328599040,        1.0000000000,        1.0000000000,        0.0150000000,        0.0250000000,        1.0000000000,        1.0000000000,        0.0000000000,
     1,     118,       6,       59.6800000000,        7.5000000000,       29.5636971520,        1.3762563660,        5.0100333277,        0.0671395977,        0.0805143195,        3.0874561828,        5.6514379744,        1.1513457466,
