ijcam,lat,lon,sand,clay,silt,wwilt,wfield,wsat
   571,  80.53,  12.50, 0.43000, 0.18000, 0.39000, 0.13036, 0.24752, 0.43482,
   588, -69.16,  15.00, 0.43000, 0.18000, 0.39000, 0.13036, 0.24752, 0.43482,
   610, -27.47,  15.00, 0.56458, 0.20296, 0.23246, 0.11916, 0.23685, 0.41800,
   611, -25.58,  15.00, 0.77078, 0.07109, 0.15813, 0.11815, 0.16815, 0.39206,
   612, -23.68,  15.00, 0.77078, 0.07109, 0.15813, 0.11822, 0.16822, 0.39209,
   613, -21.79,  15.00, 0.52500, 0.17502, 0.29998, 0.11611, 0.23388, 0.42313,
   614, -19.89,  15.00, 0.52500, 0.17502, 0.29998, 0.11611, 0.23399, 0.42322,
   615, -18.00,  15.00, 0.49506, 0.22508, 0.27986, 0.13359, 0.25180, 0.42692,
   616, -16.11,  15.00, 0.71644, 0.14937, 0.13419, 0.08922, 0.20312, 0.39925,
   617, -14.21,  15.00, 0.42533, 0.42818, 0.14649, 0.22132, 0.30326, 0.43635,
   618, -12.32,  15.00, 0.42533, 0.42818, 0.14649, 0.22132, 0.30328, 0.43638,
   619, -10.42,  15.00, 0.42533, 0.42818, 0.14649, 0.22132, 0.30316, 0.43625,
   620,  -8.53,  15.00, 0.37371, 0.46512, 0.16117, 0.23324, 0.31567, 0.44282,
   621,  -6.63,  15.00, 0.37371, 0.46512, 0.16117, 0.23324, 0.31558, 0.44271,
   622,  -4.74,  15.00, 0.72600, 0.14063, 0.13337, 0.08715, 0.19943, 0.39841,
   623,  -2.84,  15.00, 0.64014, 0.28191, 0.07795, 0.15183, 0.24814, 0.40941,
   624,  -0.95,  15.00, 0.64014, 0.28191, 0.07795, 0.15183, 0.24870, 0.40988,
   625,   0.95,  15.00, 0.34842, 0.45020, 0.20138, 0.22618, 0.31768, 0.44687,
   626,   2.84,  15.00, 0.41207, 0.42914, 0.15879, 0.22106, 0.30562, 0.43856,
   627,   4.74,  15.00, 0.37720, 0.47510, 0.14769, 0.23733, 0.31669, 0.44245,
   628,   6.63,  15.00, 0.44768, 0.37488, 0.17744, 0.19872, 0.29124, 0.43353,
   629,   8.53,  15.00, 0.35542, 0.46473, 0.17985, 0.23189, 0.31635, 0.44480,
   630,  10.42,  15.00, 0.35327, 0.37629, 0.27044, 0.19914, 0.30391, 0.44528,
   631,  12.32,  15.00, 0.37343, 0.39359, 0.23298, 0.20563, 0.30409, 0.44251,
   632,  14.21,  15.00, 0.82398, 0.06966, 0.10637, 0.11187, 0.16187, 0.38531,
   633,  16.11,  15.00, 0.77483, 0.06218, 0.16299, 0.11400, 0.16400, 0.39152,
